project_name,project_type,root_folder,level_1,level_2,level_3,permission,role_permission,user_email,industry_role,company,company_trade,local_folder
Sample Project,Office,Plans,,,,V,,user1@company.com,"Architect, Engineer",Company1,Communications,
,,,,,,V,,user2@company.com,"Foreman, Executive",Company2,Architecture,
,,,Folder1,,,V+D,,user2@company.com,,,,
,,,,,,V,Engineer,,,,,
,,,,Folder1.1,,V,,user3@company.com,Estimator,Company3,Electrical,Data1
,,,,,Folder1.1.1,,,,,,,
,,,,,Folder1.1.2,V+D+U,Architect,user1@company.com,,,,
,,,,,,V+D+U,Foreman,,,,,
,,,,,Folder1.1.3,Full,,user2@company.com,,,,
,,,,Folder1.2,,V+D+U+E,,user4@company.com,BIM Manager,Company2,,
,,,,,,U,,user3@company.com,,,,
,,,,,Folder1.2.1,V+D+U,,user3@company.com,,,,
,,,Folder2,,,V+D,,user2@company.com,,,,
,,,,Folder2.1,,,,,,,,
,,,,,Folder2.1.1,,,,,,,
,,,,,Folder2.1.2,V+D+U,,user1@company.com,,,,
,,,,,,V+D+U,,user2@company.com,,,,
,,,,,Folder2.1.3,Full,,user2@company.com,,,,
,,,,Folder2.2,,V+D+U+E,,user4@company.com,,,,
,,,,,,U,Engineer,,,,,
,,,,,Folder2.2.1,V+D+U,,user3@company.com,,,,
,,Project Files,,,,V,,user1@company.com,,,,
,,,,,,V,,user2@company.com,,,,
,,,Folder11,,,V+D,,user2@company.com,,,,
,,,,Folder11.1,,V,,user3@company.com,,,,Data2
,,,,,Folder11.1.1,,,,,,,
,,,,,Folder11.1.2,V+D+U,,user1@company.com,,,,
,,,,,,V+D+U,,user2@company.com,,,,
,,,,,Folder11.1.3,Full,,user2@company.com,,,,
,,,,Folder11.2,,V+D+U+E,,user4@company.com,,,,
,,,,,,U,,user3@company.com,,,,
,,,,,Folder11.2.1,V+D+U,,user3@company.com,,,,
,,,Folder22,,,V+D,,user2@company.com,,,,
,,,,Folder22.1,,,,,,,,
,,,,,Folder22.1.1,,,,,,,
,,,,,Folder22.1.2,V+D+U,,user1@company.com,,,,
,,,,,,V+D+U,,user2@company.com,,,,
,,,,,Folder22.1.3,Full,,user2@company.com,,,,
,,,,Folder22.2,,V+D+U+E,,user4@company.com,,,,
,,,,,,U,,user3@company.com,,,,
,,,,,Folder22.2.1,V+D+U,,user3@company.com,,,,
,,,,,,,,,,,,
Sample Project 2,Library,Plans,,,,V,,user1@company.com,"Architect, Engineer",Company1,,
,,,,,,V,,user2@company.com,"Foreman, Executive",Company2,,
,,,Folder1,,,V+D,,user2@company.com,,,,
,,,,Folder1.1,,V,,user3@company.com,Estimator,Company3,,Data1
,,,,,Folder1.1.1,,,,,,,
,,,,,Folder1.1.2,V+D+U,,user1@company.com,,,,
,,,,,,V+D+U,,user2@company.com,,,,
,,,,,Folder1.1.3,Full,,user2@company.com,,,,
,,,,Folder1.2,,V+D+U+E,,user4@company.com,BIM Manager,Company4,Earthwork,
,,,,,,U,BIM Manager,user3@company.com,,,,
,,,,,Folder1.2.1,V+D+U,,user3@company.com,,,,
,,Project Files,,,,V,,user1@company.com,,,,
,,,,,,V,,user2@company.com,,,,
,,,Folder11,,,V+D,,user2@company.com,,,,
,,,,Folder11.1,,V,,user3@company.com,,,,Data2
,,,,,Folder11.1.1,,,,,,,
,,,,,Folder11.1.2,V+D+U,,user1@company.com,,,,
,,,,,,V+D+U,,user2@company.com,,,,
,,,,,Folder11.1.3,Full,,user2@company.com,,,,
,,,,Folder11.2,,V+D+U+E,,user4@company.com,,,,
,,,,,,U,,user3@company.com,,,,
,,,,,Folder11.2.1,V+D+U,,user3@company.com,,,,
